Name,Address,Rating,Website,Opening Hours,Cuisine Type
big Jerry Indy food truck,"8522 Madison Ave, Indianapolis, IN 46227, United States",5.0,,"Monday: 11:00 AM – 7:00 PM, Tuesday: 11:00 AM – 7:30 PM, Wednesday: 11:00 AM – 7:00 AM, Thursday: 10:30 AM – 7:30 PM, Friday: 10:30 AM – 7:00 PM, Saturday: 11:00 AM – 8:30 PM, Sunday: Closed","Latin American, Empanadas, Tacos"
Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, United States",4.5,https://www.facebook.com/peregrino1982/,"Monday: Closed, Tuesday: Closed, Wednesday: 5:00 PM – 1:00 AM, Thursday: 5:00 PM – 1:00 AM, Friday: 5:00 PM – 4:00 AM, Saturday: 5:00 PM – 4:00 AM, Sunday: 5:00 PM – 1:00 AM","Mexican, Food Trucks"
The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, United States",4.1,http://thelatinflavorindy.com/?utm_source=gmb&utm_medium=referral,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 10:00 PM","Tacos, Latin American"
Mi Lindo Pénjamo - Food Truck,"7910 Michigan Rd, Indianapolis, IN 46268, United States",4.5,https://store.kahero.co/milindopenjamo,"Monday: Closed, Tuesday: 7:30 PM – 12:00 AM, Wednesday: 7:30 PM – 12:00 AM, Thursday: 7:30 PM – 12:00 AM, Friday: 7:30 PM – 12:00 AM, Saturday: Closed, Sunday: Closed","Tacos, Food Trucks"
Super Tacos food truck,"7202 E Washington St, Indianapolis, IN 46219, United States",4.6,,,Tacos
Antojitos Guzman food truck #1,"4853 W 56th St, Indianapolis, IN 46254, United States",3.5,https://antojitosguzmanfoodtruck1.business.site/?utm_source=gmb&utm_medium=referral,"Monday: Closed, Tuesday: Closed, Wednesday: 2:00 – 9:30 PM, Thursday: 2:00 – 9:30 PM, Friday: 2:00 – 9:30 PM, Saturday: 2:00 – 9:30 PM, Sunday: 2:00 – 9:30 PM","Desserts, Tacos"
Emergency Taco Truck,"7001 Pendleton Pike, Indianapolis, IN 46226, United States",4.7,,"Monday: Closed, Tuesday: 3:00 – 10:00 PM, Wednesday: 3:00 – 10:00 PM, Thursday: 3:00 – 10:00 PM, Friday: 3:00 PM – 12:00 AM, Saturday: 3:00 PM – 12:00 AM, Sunday: Closed","Food Trucks, Tacos"
ClusterTruck,"729 N Pennsylvania St, Indianapolis, IN 46204, United States",4.8,https://downtown-indy.clustertruck.com/menu?utm_source=google%20my%20business&utm_medium=search%20listing,"Monday: 8:00 AM – 10:00 PM, Tuesday: 8:00 AM – 10:00 PM, Wednesday: 8:00 AM – 10:00 PM, Thursday: 8:00 AM – 10:00 PM, Friday: 8:00 AM – 11:00 PM, Saturday: 10:00 AM – 11:00 PM, Sunday: 10:00 AM – 9:00 PM",Food Delivery Services
Taco food truck,"5621 N Parker Ave, Indianapolis, IN 46220, United States",0.0,,"Monday: 12:00 – 9:00 PM, Tuesday: 12:00 – 10:00 PM, Wednesday: 12:00 – 10:00 PM, Thursday: 12:00 – 11:00 PM, Friday: 12:00 PM – 12:00 AM, Saturday: 5:00 PM – 12:00 AM, Sunday: Closed","Mexican, Food Trucks"
La marina Maxican Food Truck,"7155 Madison Ave, Indianapolis, IN 46227, United States",4.0,,,
El Viejon Food Truck,"3612 W 30th St, Indianapolis, IN 46222, United States",1.0,https://www.elviejonfoodtruckindy.com/,"Monday: Closed, Tuesday: 2:30 PM – 1:00 AM, Wednesday: 2:30 PM – 1:00 AM, Thursday: 2:30 PM – 1:00 AM, Friday: 2:30 PM – 4:00 AM, Saturday: 2:30 PM – 4:00 AM, Sunday: 2:30 PM – 12:00 AM",Food Stands
FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis, IN 46222, United States",4.5,,"Monday: 5:00 PM – 12:00 AM, Tuesday: 5:00 PM – 12:00 AM, Wednesday: 5:00 PM – 12:00 AM, Thursday: 5:00 PM – 12:00 AM, Friday: 5:00 PM – 2:00 AM, Saturday: 5:00 PM – 2:00 AM, Sunday: 5:00 PM – 12:00 AM",
El Venezolano Food Truck,"9642 Allisonville Rd Suite B, Indianapolis, IN 46250, United States",3.7,,,"Venezuelan, Food Trucks"
Food truck Mil Amores,"5034 E Raymond St, Indianapolis, IN 46203, United States",4.0,,,"Tacos, Food Trucks"
TACOPOLIS (LA CAPITAL DEL TACO),"4857 W 38th St, Indianapolis, IN 46254, United States",4.4,https://www.instagram.com/tacopolisin/?hl=en,"Monday: Closed, Tuesday: 3:00 – 11:30 PM, Wednesday: 3:00 – 11:30 PM, Thursday: 3:00 – 11:30 PM, Friday: 2:30 PM – 12:00 AM, Saturday: 2:30 PM – 12:30 AM, Sunday: Closed",
El Amigo Taqueria Food Truck,"3356 W 16th St, Indianapolis, IN 46222, United States",4.3,,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 12:00 PM – 12:00 AM, Sunday: 12:00 PM – 12:00 AM","Mexican, Beer, Wine & Spirits, Vegetarian"
Tortas Guicho Food Truck,"S. East St and, Fletcher Ave, Indianapolis, IN 46204, United States",4.5,,"Monday: 8:00 AM – 2:00 PM, Tuesday: 8:00 AM – 2:00 PM, Wednesday: 8:00 AM – 2:00 PM, Thursday: 8:00 AM – 2:00 PM, Friday: 8:00 AM – 2:00 PM, Saturday: Closed, Sunday: Closed",Mexican
Wild Boar BBQ Food Truck,"6129 E Washington St, Indianapolis, IN 46219, United States",5.0,http://wildboarbbq.com/,,"Food Trucks, Barbeque"
KG Slider Station,"3748 Lafayette Rd, Indianapolis, IN 46222, United States",5.0,http://www.keysgourmet.com/#!contact-us/clx0,"Monday: 12:00 – 8:00 PM, Tuesday: 12:00 – 8:00 PM, Wednesday: 12:00 – 8:00 PM, Thursday: 12:00 – 8:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 12:00 – 8:00 PM","American (New), Sushi Bars, Cocktail Bars"
The Night Owl Food Truck,"South and, S Meridian St, Indianapolis, IN 46225, United States",5.0,http://mercersnightowl.com/,"Monday: Closed, Tuesday: Closed, Wednesday: Closed, Thursday: 8:30 PM – 2:30 AM, Friday: 8:30 PM – 3:30 AM, Saturday: 8:30 PM – 3:30 AM, Sunday: 6:00 PM – 1:00 AM",Bakeries
